 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW03077,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,POLK CO,"4 MI. N, 2 MI. W DALLES, PIONEER LOOP RD.",,,,,44,59,,N,123,20,,W,,12,NOV,1975,750,Male,TESTIS 6.2 X 4.0 MM,Ad,"K. DZINBAL, KDZ 75-03",N,SKIN AND SKULL,,N,9.21,7.23,3.45,2.61,2.42,1.90,6.21,463.00,213.00,44.00,34.00,276.00
FW03119,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,13 MI. S FIELDS,,,,,42,4,,N,118,40,,W,,30,APR,1976,4500,Female,"PREGNANT: 3L, 1 RESORBING R",Ad,"B.J. VERTS, BJV-19-76",N,SKIN AND SKULL,,N,7.64,5.26,2.83,2.11,1.71,1.53,5.29,246.00,99.00,29.00,29.00,76.00
FW03176,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 3 MI. W TERREBONNE",,,,,44,21,,N,121,14,,W,,26,SEP,1976,3400,Male,TESTIS 5 X 4 MM,Juv,R. DEERING,"B.J. VERTS, BJV-76-48",SKIN AND SKULL,,N,9.80,7.16,3.54,2.52,2.37,1.94,6.48,344.00,151.00,41.00,34.00,199.60
FW03177,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,27,SEP,1976,3200,Female,"PLACENTAL SCARS: 2L, 1R",Ad,R. DEERING,"B.J. VERTS, BJV-76-49",SKIN AND SKULL,,N,9.22,7.79,3.81,2.51,2.29,1.95,6.52,336.00,127.00,42.00,33.00,259.50
FW03180,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,2,OCT,1976,3400,Female,NULLIPAROUS,Juv,R. DEERING,"B.J. VERTS, BJV-76-50",SKIN AND SKULL,,N,9.32,7.55,3.62,2.59,2.11,1.93,6.52,351.00,155.00,40.00,34.00,207.90
FW03238,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"8 MI. N, 1 MI. E CORVALLIS, SOAP CREEK",,,,,44,40,,N,123,15,,W,,21,OCT,1976,250,Female,"PLACENTAL SCARS: 2L, 0R",Ad,"L. POOLE, LMP-76-3",N,SKIN AND SKULL,,N,8.37,6.47,3.06,2.05,2.55,1.81,5.87,434.00,220.00,41.00,30.00,247.60
FW03261,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 2 MI. W TERREBONNE",,,,,44,20,,N,121,17,,W,,7,MAY,1977,3100,Female,N,Ad,R. DEERING,"B.J. VERTS, BJV-77-7",SKIN AND SKULL,,N,9.45,7.82,3.84,2.81,2.28,2.06,6.81,362.00,153.00,40.00,34.00,270.20
FW03452,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. S, 1.5 MI. E HOSKINS, WHISPERING WINDS GIRL SCOUT",CAMP,,,,44,39,,N,123,26,,W,,28,NOV,1978,500,Female,NULLIPAROUS,Juv,"K. PENDERGRASS, KLP 78-5",N,SKIN AND SKULL,,N,9.25,6.19,3.31,2.46,2.19,1.92,6.17,390.00,194.00,42.00,33.00,138.60
FW03489,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"2 MI. S, 3 MI. W GREENBERRY",,,,,44,26,,N,123,14,,W,,5,OCT,1976,500,Male,"TESTES: L 11 X 5 MM, R 12 X 6 MM",Ad,"T. DEMING, TD 76-2",N,SKIN AND SKULL,,N,9.39,7.55,3.66,2.85,2.31,2.04,6.67,,,40.00,32.00,293.00
FW03503,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,5 MI. W WELLSDALE,,,,,44,42,,N,123,17,,W,,17,OCT,1976,600,Male,NULLIPAROUS,Juv,"C. MUNSON, CRM-20-76",N,SKIN AND SKULL,,N,8.73,6.71,3.39,2.33,2.12,1.85,6.02,391.00,185.00,39.00,31.00,214.60
FW03533,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"1 MI. N, 6 MI. W WAMIC",,,,,45,14,,N,121,22,,W,,25,JUL,1978,,Male,N,Juv,"B. VERTS, BJV-78-14",N,SKIN AND SKULL,,N,9.08,6.73,3.39,2.55,2.08,1.71,6.29,281.00,122.00,43.00,32.00,102.60
FW03534,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"1 MI. N, 6 MI. W WAMIC, BONNEY CROSSING CAMPGROUND",,,,,45,14,,N,121,22,,W,,25,JUL,1978,,Male,N,Juv,"B. VERTS, BJV-78-13",N,SKIN AND SKULL,,N,8.76,6.13,3.35,2.63,1.99,1.76,6.21,271.00,119.00,41.00,32.00,99.10
FW03845,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,GRANT CO,"1 MI. N, 10.5 MI. E LONG CREEK, T10S, R32E, SEC. 4, (KA",HLER BUTTE)KAHLER BUTTE,"T10S, R32E, SEC. 4",,,44,44,,N,118,54,,W,,20,JUL,1979,,Male,N,vJuv,"E. McMAHON, EEM-81",N,SKIN AND SKULL,,N,8.38,6.38,3.30,2.65,1.54,1.67,6.08,230.00,110.00,37.00,26.00,80.00
FW03851,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"6 MI. W WAMIC, T4S, R11E, SEC. 11, ROCK CREEK",,"T4S, R11E, SEC. 11",,,45,14,,N,121,23,,W,,25,JUL,1979,2500,Female,"PLACENTAL SCARS: 2L, 2R",Ad,"K. HUNDERTMARK, KJH-79-2",N,SKIN AND SKULL,,N,9.68,8.49,3.77,2.82,2.54,2.01,6.73,392.00,173.00,43.00,26.00,289.40
FW03852,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WASCO CO,"6 MI. W WAMIC, T4S, R11E, SEC. 11, ROCK CREEK",,"T4S, R11E, SEC. 11",,,45,14,,N,121,23,,W,,25,JUL,1979,2500,Male,N,Ad,"K. HUNDERTMARK, KJH-79-1",N,SKIN AND SKULL,,N,9.36,7.95,3.47,2.39,2.32,1.70,6.21,396.00,175.00,49.00,31.00,268.60
FW03870,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,12,SEP,1979,3000,Male,TESTIS 7 X 5 MM,Juv,K. HUNDERTMARK,"B. VERTS, X-18",SKIN AND SKULL,,N,9.65,8.07,3.67,2.44,2.21,1.93,6.48,382.00,165.00,44.00,37.00,301.60
FW03871,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,3 MI. W TERREBONNE,,,,,44,21,,N,121,14,,W,,12,SEP,1979,3000,Female,"PLACENTAL SCARS: 3L, 3R",Ad ,K. HUNDERTMARK,"B. VERTS, X-20",SKIN AND SKULL,,N,9.58,7.83,3.76,2.65,2.46,2.04,6.73,365.00,156.00,41.00,36.00,241.10
