RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
2417,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M2,,,,RE pits,,,,,,2.9,,,,,3.84,11295.64833,Holocene,1803,5,12,C,20,20
2427,Neotoma lepida,Neotoma lepida,B,maxilla,skull,complete,,,"L-shaped m3 posterior buccal RE, small size",,11.22,7.71,3.34,,2.29,,1.83,,,1.67,0,Modern,,0,0,Aug 2023 Surface Sweep,Pellets,
2428,Neotoma lepida,Neotoma lepida,R,mandible,mandible,complete,,,"Flared out buccal lph on m1, assymetric connector on m3",,5.81,7.73,3.28,,2.3,,2.12,,,1.48,0,Modern,,0,0,Aug 2023 Surface Sweep,Pellets,
2434,Neotoma sp.,Neotoma sp.,R,maxilla,premax-maxilla,complete,"missing m1,m2,m3",,"Size, 2 ridges inside tooth cavity",,5.47,,,,,,,,,,0,Modern,,0,0,Aug 2023 Surface Sweep,Pellets,
2464,Neotoma cin.fusc,Neotoma cin.fusc,B,mandible,mandible,diastema forward,,,"Size, shape",,,,,,,,,,,,11685.8245,Pleistocene,1830,5,12,C,21,
2465,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1 forward,edent,burned,Size,,,,,,,,,,,,11685.8245,Pleistocene,1830,5,12,C,21,
2467,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M1,,,,Anteriormedial groove depth,,,,3.75,1.96,,,,,,3.34,11685.8245,Pleistocene,1830,5,12,C,21,
2468,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,,"Shape, RE pits",,,,,,3.27,2.39,,,,3.15,11685.8245,Pleistocene,1830,5,12,C,21,
2480,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m2 backward,missing m3,,"Size, RE pits",,,,,,2.89,2.19,,,,,11685.8245,Pleistocene,1830,5,12,C,21,
2486,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,burned,Anteriormedial groove depth,,,,3.61,2.39,,,,,,2.09,12317.574,Pleistocene,1830,5,12,C,24,1-B Ash Mix
2487,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 forward,,burned,Anteriormedial groove depth,posterior broken,,,,2.53,,,,,,2.19,12431.882,Pleistocene,1830,5,12,C,25,1-B Ash Mix
2493,Neotoma sp.,Neotoma sp.,L,maxilla,maxilla,m1 only,edent,burned,Alveolar pattern,,,,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,
2571,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,burned,RE pits,,,,3.81,1.99,,,,,,2.98,12317.574,Pleistocene,1830,5,12,C,24,ASH
2572,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,burned,RE pits,,,,,,3.1,2.39,,,,4.11,12317.574,Pleistocene,1830,5,12,C,24,ASH
2573,Neotoma sp.,Neotoma sp.,unknown,unknown,molar fragment,,,burned,crown shape,,,,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,ASH
2574,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1 forward,,burned,"Size, RE groove extends all the way down",Was initially called N. fuscipes by SWH.  Tooth is very worn and the crown is broken.,,,3.92,,,,,,,1.76,12317.574,Pleistocene,1830,5,12,C,24,ASH
2576,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m2-m3 only,edent,burned white,"Size, alveolar pattern",,,,,,,,,,,,12317.574,Pleistocene,1830,5,12,C,24,ASH
2602,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,m2 forward,edent,burned,Size,,,,,,,,,,7.75,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2603,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 forward,,burned white,"Size, RE pits, open RE angles",Tooth loose. Replaced in socket b/c fit well and same color,,,4.12,2.72,,,,,,1.99,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2604,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,"missing m1,m2,m3",burned grey,Size,,,10.01,3.98,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
2605,Neotoma cin.fusc,Neotoma cin.fusc,L,mandible,mandible,complete,edent,burned,,,7.68,10.4,,,,,,,,,12098.897,Pleistocene,1830,5,12,C,23,ASH Bone
